,CODIGO_INTERNO,COD_FABRICANTE,NOME_FANTASIA,PRODUTO,QTDE_EMB,UNIDADE_MEDIDA,QTDE_SPNORTE,PRECO_SPNORTE,QTDE_ABC,PRECO_ABC,QTDE_SPLESTE,PRECO_SPLESTE,sumed_quantity_for_best_price_only,best_price_with_stock
12906,"1,90205E+12",013024000SP853011T,POSITRON,MULTIMIDI4 DVD TEL4 6.2'',1,PC,4,"715,16",,0,,0,4.0,715.16
12907,"1,90205E+12",SP8345 TH,POSITRON,MULTIMIDI4 2DIN 6.95'',1,PC,11,"736,4",,0,,0,11.0,736.4
12908,"1,91905E+12",VREC-100CH,PIONEER,C4MER4 SEGUR4NC4 D4SHC4M,1,PC,11,"399,39",,0,,0,11.0,399.39
12909,"1,93005E+12",5TR64,J11L,4LTO F4L4NTE TRI4XI4L MULTISYSTEM 5P 60W,1,PR,11,"194,42",,0,,0,11.0,194.42
12910,"1,93005E+12",RPD200,J11L,REP4RO DE DRIVER,1,PC,11,"34,52",,0,,0,11.0,34.52
12911,"1,93606E+12",12258XVS2,PHILIPS,L4MP4D4 F4ROL X-TREMEVISION H1 12V 55W,1,PR,11,"100,55",,0,,0,11.0,100.55
12912,"1,93606E+12",11498ULWX2,PHILIPS,L4MP4D4 SIN4LIZ4C4O LED P21W 11R4NCO 12V,1,PR,11,"74,96",,0,,0,11.0,74.96
12913,"1,93606E+12",11498ULRX2,PHILIPS,L4MP4D4 SIN4LIZ LED VERMELH4 P21W 12V 1P,1,PR,11,"90,77",,0,,0,11.0,90.77
12914,"1,93606E+12",11012U50CWX2,PHILIPS,L4MP4D4 F4ROL LED 11IVOLT 12V HIR2,1,PR,11,"548,85",,0,,0,11.0,548.85
12915,"1,93606E+12",9008C1,PHILIPS,L4MP4D4 F4ROL H13 12V 60/55W,1,PC,4,"88,8",11,"57,09",,0,11.0,57.09
12916,"1,93606E+12",12061CP,PHILIPS,"L4MP4D4 SIN4LIZ4C4O 12V 2,3W (PINGUINHO)",10,PC,11,"2,82",11,"2,54",,0,11.0,2.54
12917,"1,93606E+12",H712VH4L,PHILIPS,L4MP4D4 F4ROL H4LOW4Y H7,1,PC,11,"15,41",11,"15,41",11,"15,41",33.0,15.41
12918,"1,93606E+12",H412VH4L,PHILIPS,L4MP4D4 F4ROL H4LOW4Y H4,1,PC,11,"9,64",11,"9,64",11,"9,64",33.0,9.64
12919,"1,93606E+12",42403VIC1,PHILIPS,L4MP4D4 F4ROL XENON 42V 35W D3S,1,PC,4,"733,76",,0,,0,4.0,733.76
12920,"1,93606E+12",42406VIC1,PHILIPS,L4MP4D4 F4ROL XENON 42V 35W D4R,1,PC,4,"564,42",,0,,0,4.0,564.42
12921,"1,95204E+12",SX24ZUL,STETSOM,CONTROLE DE SOM 16 FUNCOES 4ZUL,1,PC,11,"82,67",,0,,0,11.0,82.67
12922,"1,98106E+12",4U812S11,MULTIL4SER,L4MP4D4 F4ROL H113 12V 55W SUPER 11R4N P4R,1,PR,11,"11,41",11,"11,41",,0,22.0,11.41
12923,"1,98106E+12",4U540,MULTIL4SER,C411O 4UXILI4DOR P4RTID4 CHUPET4 3M 3004,1,PC,11,"53,77",,0,,0,11.0,53.77
12924,"1,98306E+12",3157-HELL4,HELL4,L4MP4D4 S8 12V 27/7W W2.5X16Q,10,PC,11,"6,68",11,"6,68",,0,22.0,6.68
12925,"1,98306E+12",3893-HELL4,HELL4,L4MP4D4 T2.75 12V 4W 1149S,10,PC,11,"1,55",,0,11,"1,55",22.0,1.55
12926,"1,98306E+12",7507-HELL4,HELL4,L4MP4D4 S8 12V 21W 114U15S,10,PC,11,"4,66",11,"4,66",11,"4,66",33.0,4.66
12927,"1,98306E+12",H7WL-HELL4,HELL4,L4MP4D4 F4ROL WHITE LIGHT 12V 55W,1,PR,4,"90,84",11,"90,84",,0,15.0,90.84
12928,"1,98405E+12",4TX4050,POLYVOX,4LTO F4L4NTE 4POL TRI4XI4L 45W RMS,1,PR,11,"36,84",11,"47,91",,0,11.0,36.84
