COD COMPEL;COD FABRICA;QTDE EMBALAGEM;UNIDADE MEDIDA;DISPONIBILIDADE;PREÇO;FABRICANTE
211264;211264;1;Pc;B;80,68;TENNECO AUTOMOTIVE BRASIL LTDA.
211265;211265;1;Pc;B;80,68;TENNECO AUTOMOTIVE BRASIL LTDA.
211341;211341;1;Pc;A;162,55;TENNECO AUTOMOTIVE BRASIL LTDA.
211542;211542;1;Pc;A;40,19;TENNECO AUTOMOTIVE BRASIL LTDA.
211543;211543;1;Pc;Indisponível;108,22;TENNECO AUTOMOTIVE BRASIL LTDA.
211612;211612;2;Pc;Indisponível;88,04;TENNECO AUTOMOTIVE BRASIL LTDA.
211631;211631;1;Pc;A;142,46;TENNECO AUTOMOTIVE BRASIL LTDA.
211696;211696;1;Pc;B;58,66;TENNECO AUTOMOTIVE BRASIL LTDA.
211697;211697;1;Pc;C;58,66;TENNECO AUTOMOTIVE BRASIL LTDA.
211698;211698;1;Pc;A;46,37;TENNECO AUTOMOTIVE BRASIL LTDA.
211699;211699;1;Pc;A;46,37;TENNECO AUTOMOTIVE BRASIL LTDA.
211721;211721;1;Pc;B;105,43;TENNECO AUTOMOTIVE BRASIL LTDA.
212425;212425;1;Pc;A;53,57;TENNECO AUTOMOTIVE BRASIL LTDA.
212426;212426;1;Pc;Indisponível;59,07;TENNECO AUTOMOTIVE BRASIL LTDA.
212427;212427;1;Pc;A;90,38;TENNECO AUTOMOTIVE BRASIL LTDA.
212446;212446;1;Pc;B;60,27;TENNECO AUTOMOTIVE BRASIL LTDA.
212463;212463;1;Pc;C;60,9;TENNECO AUTOMOTIVE BRASIL LTDA.
212467;212467;1;Pc;B;56,68;TENNECO AUTOMOTIVE BRASIL LTDA.
212603;212603;1;Pc;B;49,18;TENNECO AUTOMOTIVE BRASIL LTDA.
212644;212644;1;Pc;B;60,14;TENNECO AUTOMOTIVE BRASIL LTDA.
212760;212760;1;Pc;C;97,88;TENNECO AUTOMOTIVE BRASIL LTDA.
21445;21445;1;Pc;Indisponível;9,8;TENNECO AUTOMOTIVE BRASIL LTDA.
220444;220444;1;Pc;Indisponível;53,14;TENNECO AUTOMOTIVE BRASIL LTDA.
220448;220448;1;Pc;Indisponível;43,01;TENNECO AUTOMOTIVE BRASIL LTDA.
220522;220522;1;Pc;Indisponível;22,97;TENNECO AUTOMOTIVE BRASIL LTDA.
220705;220705;1;Pc;Indisponível;47,48;TENNECO AUTOMOTIVE BRASIL LTDA.
220742;220742;1;Pc;B;57,22;TENNECO AUTOMOTIVE BRASIL LTDA.
220744;220744;1;Pc;B;62,18;TENNECO AUTOMOTIVE BRASIL LTDA.
220776;220776;1;Pc;A;61;TENNECO AUTOMOTIVE BRASIL LTDA.
221039;221039;1;Pc;B;67,31;TENNECO AUTOMOTIVE BRASIL LTDA.
221202;221202;1;Pc;B;91,14;TENNECO AUTOMOTIVE BRASIL LTDA.
221203;221203;1;Pc;B;98,04;TENNECO AUTOMOTIVE BRASIL LTDA.
221245;221245;1;Pc;B;46,37;TENNECO AUTOMOTIVE BRASIL LTDA.
221280;221280;1;Pc;B;56,9;TENNECO AUTOMOTIVE BRASIL LTDA.
221403;221403;1;Pc;B;70,53;TENNECO AUTOMOTIVE BRASIL LTDA.
221503485;221503485;1;Pc;Indisponível;210,4;ROBERT BOSCH LTDA
221503490;221503490;1;Pc;A;263,56;ROBERT BOSCH LTDA
221504006;221504006;1;Pc;Indisponível;379,38;ROBERT BOSCH LTDA
221504030;221504030;1;Pc;Indisponível;187,36;ROBERT BOSCH LTDA
221504460;221504460;1;Pc;Indisponível;263,5;ROBERT BOSCH LTDA
221504464;221504464;1;Pc;Indisponível;184,43;ROBERT BOSCH LTDA
221504470;221504470;1;Pc;Indisponível;177,24;ROBERT BOSCH LTDA
221504702;221504702;1;Pc;Indisponível;188,84;ROBERT BOSCH LTDA
221504800;221504800;1;Pc;Indisponível;230,86;ROBERT BOSCH LTDA
221505;221505;1;Pc;Indisponível;70,64;TENNECO AUTOMOTIVE BRASIL LTDA.
221517;221517;1;Pc;Indisponível;56,9;TENNECO AUTOMOTIVE BRASIL LTDA.
221541;221541;1;Pc;B;122,06;TENNECO AUTOMOTIVE BRASIL LTDA.
221546;221546;1;Pc;A;17,83;TENNECO AUTOMOTIVE BRASIL LTDA.
221547;221547;1;Pc;B;62,8;TENNECO AUTOMOTIVE BRASIL LTDA.
221551;221551;1;Pc;Indisponível;206,58;TENNECO AUTOMOTIVE BRASIL LTDA.
221552;221552;1;Pc;A;106,47;TENNECO AUTOMOTIVE BRASIL LTDA.
221553;221553;1;Pc;A;190,94;TENNECO AUTOMOTIVE BRASIL LTDA.
221563;221563;1;Pc;A;59,82;TENNECO AUTOMOTIVE BRASIL LTDA.
221587;221587;2;Pc;C;28,81;TENNECO AUTOMOTIVE BRASIL LTDA.
